,N1,N2,N3,N4,N5,N6,N7,N8,N9,M1,M2,M3 ,,,,,,,,,
,0.2401,0.1711,9.258643242,2.531049814,10.89307011,0.55337574,9.6001,7.2001,0.767645871,RAISE,HOLD,RAISE,,,,,,,,,
,0.2401,0.1721,10.05540201,1.634426873,10.89307011,0.73160498,10.0001,7.5001,0.849957188,RAISE,HOLD,RAISE,,,,,,,,,
,0.2401,0.1731,10.8915986,0.837668107,10.89307011,1.230449912,10.4001,7.8001,0.923100825,RAISE,HOLD,RAISE,,,,,,,,,
,0.2401,0.1741,7.436910981,0.001471515,10.89307011,2.600456794,10.8001,8.1001,0.999864913,HOLD,STOP,HOLD,,,,,,,,,
,0.0001,0.1741,7.638924232,3.456159134,10.89307011,1010.782617,10.8001,8.1001,0.682719463,RAISE,HOLD,RAISE,,,,,,,,,
,0.0001,0.1751,8.264985435,3.254145882,10.89307011,0.44204702,11.2001,8.4001,0.701264579,RAISE,RAISE,RAISE,,,,,,,,,
,0.0201,0.1761,8.845776964,2.62808468,10.89307011,0.507966498,11.6001,8.7001,0.758737927,RAISE,RAISE,RAISE,,,,,,,,,
,0.0401,0.1771,9.756317971,2.047293151,10.89307011,0.673172903,12.0001,9.0001,0.812055451,RAISE,RAISE,RAISE,,,,,,,,,
,0.0601,0.1781,9.780474339,1.136752143,10.89307011,0.953094379,12.4001,9.3001,0.895644466,RAISE,RAISE,RAISE,,,,,,,,,
,0.0801,0.1791,10.38625482,1.112595776,10.89307011,1.720775174,12.8001,9.6001,0.897862057,RAISE,RAISE,RAISE,,,,,,,,,
,0.1001,0.1801,3.383510769,0.506815291,10.89307011,1.867031144,13.2001,9.9001,0.953473604,RAISE,RAISE,RAISE,,,,,,,,,
,0.1201,0.1811,4.195581708,7.509559346,10.89307011,1.335204692,13.6001,10.2001,0.310611309,RAISE,RAISE,RAISE,,,,,,,,,
,0.1401,0.1821,4.825086934,6.697488407,10.89307011,0.111739758,14.0001,10.5001,0.385160626,RAISE,RAISE,RAISE,,,,,,,,,
,0.1601,0.1831,5.58390098,6.067983181,10.89307011,0.144086459,14.4001,10.8001,0.44295014,RAISE,RAISE,RAISE,,,,,,,,,
,0.1801,0.1841,6.295241053,5.309169135,10.89307011,0.184044709,14.8001,11.1001,0.512610396,RAISE,RAISE,RAISE,,,,,,,,,
,0.2001,0.1851,6.726643823,4.597829062,10.89307011,0.237145998,15.2001,11.4001,0.57791247,RAISE,RAISE,RAISE,,,,,,,,,
,0.2201,0.1861,6.841213783,4.166426292,10.89307011,0.292600866,15.6001,11.7001,0.617515884,RAISE,RAISE,RAISE,,,,,,,,,
,0.2401,0.1871,7.596642259,4.051856331,10.89307011,0.328397207,16.0001,12.0001,0.628033577,RAISE,RAISE,RAISE,,,,,,,,,
,0.2601,0.1881,8.548769288,3.296427856,10.89307011,0.374970958,16.4001,12.3001,0.697383031,RAISE,RAISE,RAISE,,,,,,,,,
,0.2801,0.1891,8.935294687,2.344300827,10.89307011,0.518668672,16.8001,12.6001,0.784789706,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.1901,9.636510429,1.957775428,10.89307011,0.762299325,17.2001,12.9001,0.820273311,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.1911,10.35079405,1.256559685,10.89307011,0.98443471,17.6001,13.2001,0.884645956,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.1921,10.56019292,0.542276062,10.89307011,1.64748148,18.0001,13.5001,0.950218253,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.1931,10.62473733,0.332877197,10.89307011,3.894766396,18.4001,13.8001,0.969441379,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.1941,5.698353076,0.268332783,10.89307011,6.383577736,18.8001,14.1001,0.975366652,RAISE,HOLD,STOP,,,,,,,,,
,0.2801,0.1951,6.144777865,5.194717039,10.89307011,4.247228391,0.0001,0.0001,0.523117268,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.1961,6.285057392,4.748292249,10.89307011,0.236577963,0.4001,0.3001,0.564099726,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.1971,6.518208876,4.608012723,10.89307011,0.264729173,0.8001,0.6001,0.576977595,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.1981,6.572340394,4.374861239,10.89307011,0.28290759,1.2001,0.9001,0.598381247,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.1991,6.812362756,4.320729721,10.89307011,0.300459376,1.6001,1.2001,0.6033506,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2001,6.898053741,4.080707358,10.89307011,0.315333899,2.0001,1.5001,0.625385009,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2011,7.785491805,3.995016374,10.89307011,0.338081275,2.4001,1.8001,0.633251569,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2021,8.11240104,3.10757831,10.89307011,0.389760195,2.8001,2.1001,0.7147197,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2031,8.160017533,2.780669075,10.89307011,0.522104368,3.2001,2.4001,0.744730453,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2041,8.907670916,2.733052582,10.89307011,0.586910367,3.6001,2.7001,0.749101718,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2051,9.748581766,1.985399198,10.89307011,0.651847753,4.0001,3.0001,0.817737408,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2061,10.61052702,1.144488349,10.89307011,0.98202737,4.4001,3.3001,0.894934271,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2071,4.221283288,0.282543094,10.89307011,1.854195726,4.8001,3.6001,0.974062125,RAISE,HOLD,STOP,,,,,,,,,
,0.2801,0.2081,4.472753079,6.671786827,10.89307011,2.988063329,0.0001,0.0001,0.387520069,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2091,5.275230021,6.420317036,10.89307011,0.134079616,0.4001,0.3001,0.410605369,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2101,5.457241161,5.617840094,10.89307011,0.164329269,0.8001,0.6001,0.484273943,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2111,5.701342026,5.435828954,10.89307011,0.194282538,1.2001,0.9001,0.500982836,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2121,6.238061079,5.191728089,10.89307011,0.209769,1.6001,1.2001,0.523391658,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2131,6.570404725,4.655009036,10.89307011,0.240307696,2.0001,1.5001,0.572663263,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2141,6.91955998,4.32266539,10.89307011,0.282293962,2.4001,1.8001,0.603172903,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2151,6.925398529,3.973510134,10.89307011,0.320152469,2.8001,2.1001,0.635225874,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2161,7.734316185,3.967671586,10.89307011,0.348578375,3.2001,2.4001,0.635761861,RAISE,HOLD,RAISE,,,,,,,,,
,0.2801,0.2171,8.397390771,3.15875393,10.89307011,0.389866753,3.6001,2.7001,0.710021702,RAISE,RAISE,RAISE,,,,,,,,,
,0.3001,0.2181,9.34563078,2.495679344,10.89307011,0.531690088,4.0001,3.0001,0.770892933,RAISE,RAISE,RAISE,,,,,,,,,
,0.3201,0.2191,9.886845488,1.547439334,10.89307011,0.748944836,4.4001,3.3001,0.857942773,RAISE,HOLD,RAISE,,,,,,,,,
,0.3201,0.2201,10.76382889,1.006224627,10.89307011,1.277833033,4.8001,3.6001,0.907627086,RAISE,HOLD,RAISE,,,,,,,,,
,0.3201,0.2211,5.582668038,0.129241223,10.89307011,2.13944851,5.2001,3.9001,0.988135464,HOLD,STOP,HOLD,,,,,,,,,
,0.0001,0.2211,6.526270644,5.310402077,10.89307011,8.639144538,5.2001,3.9001,0.51249721,RAISE,HOLD,RAISE,,,,,,,,,
,0.0001,0.2221,7.400306048,4.366799471,10.89307011,0.245791959,5.6001,4.2001,0.599121329,RAISE,RAISE,RAISE,,,,,,,,,
,0.0201,0.2231,7.975885609,3.492764067,10.89307011,0.338935007,6.0001,4.5001,0.679359076,RAISE,RAISE,RAISE,,,,,,,,,
,0.0401,0.2241,8.731200652,2.917184506,10.89307011,0.456709097,6.4001,4.8001,0.732198134,RAISE,RAISE,RAISE,,,,,,,,,
,0.0601,0.2251,9.388477894,2.161869463,10.89307011,0.598604623,6.8001,5.1001,0.801537175,RAISE,RAISE,RAISE,,,,,,,,,
,0.0801,0.2261,10.18271744,1.50459222,10.89307011,0.868551784,7.2001,5.4001,0.861876202,RAISE,RAISE,RAISE,,,,,,,,,
,0.1001,0.2271,0.240497447,0.710352672,10.89307011,1.353551787,7.6001,5.7001,0.934788571,RAISE,RAISE,RAISE,,,,,,,,,
,0.1201,0.2281,0.948161631,10.65257267,10.89307011,0.067712126,8.0001,6.0001,0.022078023,RAISE,RAISE,RAISE,,,,,,,,,
,0.1401,0.2291,1.649210773,9.944908484,10.89307011,0.017801552,8.4001,6.3001,0.087042645,RAISE,RAISE,RAISE,,,,,,,,,
,0.1601,0.2301,2.575052227,9.243859342,10.89307011,0.033166937,8.8001,6.6001,0.151399996,RAISE,RAISE,RAISE,,,,,,,,,
,0.1801,0.2311,3.302416275,8.318017887,10.89307011,0.055713791,9.2001,6.9001,0.236393615,RAISE,RAISE,RAISE,,,,,,,,,
,0.2001,0.2321,4.23429166,7.59065384,10.89307011,0.079403923,9.6001,7.2001,0.303166714,RAISE,RAISE,RAISE,,,,,,,,,
,0.2201,0.2331,4.281646923,6.658778454,10.89307011,0.111565927,10.0001,7.5001,0.388714257,RAISE,RAISE,RAISE,,,,,,,,,
,0.2401,0.2341,5.127693439,6.611423192,10.89307011,0.128601573,10.4001,7.8001,0.393061541,RAISE,RAISE,RAISE,,,,,,,,,
,0.2601,0.2351,5.911802572,5.765376676,10.89307011,0.155116177,10.8001,8.1001,0.470729866,RAISE,RAISE,RAISE,,,,,,,,,
,0.2801,0.2361,6.595887145,4.981267543,10.89307011,0.205079491,11.2001,8.4001,0.542712248,RAISE,RAISE,RAISE,,,,,,,,,
,0.3001,0.2371,7.580668768,4.29718297,10.89307011,0.26482766,11.6001,8.7001,0.605512227,RAISE,RAISE,RAISE,,,,,,,,,
,0.3201,0.2381,8.041947573,3.312401347,10.89307011,0.352820386,12.0001,9.0001,0.695916641,RAISE,RAISE,RAISE,,,,,,,,,
,0.3401,0.2391,8.304804166,2.851122542,10.89307011,0.485566013,12.4001,9.3001,0.73826272,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2401,8.866517207,2.588265949,10.89307011,0.582563818,12.8001,9.6001,0.762393345,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2411,9.836073502,2.026552908,10.89307011,0.685131851,13.2001,9.9001,0.813959436,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2421,10.04578509,1.056996613,10.89307011,0.970719636,13.6001,10.2001,0.902966143,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2431,10.19931437,0.847285023,10.89307011,1.900816894,14.0001,10.5001,0.922217978,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2441,10.3213434,0.693755749,10.89307011,2.407528538,14.4001,10.8001,0.936312193,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2451,10.40869676,0.571726718,10.89307011,2.975497763,14.8001,11.1001,0.947514639,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2461,5.188881776,0.484373352,10.89307011,3.641144079,15.2001,11.4001,0.955533808,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2471,5.837826846,5.704188339,10.89307011,2.142513313,15.6001,11.7001,0.476347046,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2481,6.323259622,5.055243269,10.89307011,0.204685627,16.0001,12.0001,0.535921167,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2491,6.493559655,4.569810493,10.89307011,0.250166383,16.4001,12.3001,0.580484616,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2501,6.645183118,4.399510459,10.89307011,0.284193827,16.8001,12.6001,0.596118412,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2511,7.102610506,4.247886996,10.89307011,0.302087388,17.2001,12.9001,0.610037671,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2521,7.599847153,3.790459609,10.89307011,0.334406754,17.6001,13.2001,0.652030184,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2531,8.488304437,3.293222962,10.89307011,0.400998715,18.0001,13.5001,0.697677246,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2541,9.477347803,2.404765678,10.89307011,0.515501351,18.4001,13.8001,0.779238942,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2551,9.872984772,1.415722312,10.89307011,0.788213828,18.8001,14.1001,0.870034591,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2561,10.46255959,1.020085343,10.89307011,1.394762898,19.2001,14.4001,0.906354652,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2571,10.62172752,0.43051053,10.89307011,2.05131064,19.6001,14.7001,0.960478495,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2581,7.572299107,0.271342596,10.89307011,4.93447978,20.0001,15.0001,0.975090347,RAISE,HOLD,STOP,,,,,,,,,
,0.3401,0.2591,8.132150213,3.320771008,10.89307011,5.581356714,0.0001,0.0001,0.695148294,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2601,8.881985493,2.760919901,10.89307011,0.489774826,0.4001,0.3001,0.746543456,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2611,9.552158993,2.011084622,10.89307011,0.643407691,0.8001,0.6001,0.815379448,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2621,10.40548847,1.340911122,10.89307011,0.949950975,1.2001,0.9001,0.876902369,RAISE,HOLD,RAISE,,,,,,,,,
,0.3401,0.2631,4.518828421,0.487581649,10.89307011,1.552002709,1.6001,1.2001,0.955239281,RAISE,RAISE,RAISE,,,,,,,,,
,0.3601,0.2641,5.406911099,6.374241694,10.89307011,1.853567881,2.0001,1.5001,0.414835154,RAISE,RAISE,RAISE,,,,,,,,,
,0.3801,0.2651,6.17320364,5.486159016,10.89307011,0.169648763,2.4001,1.8001,0.496362462,RAISE,HOLD,RAISE,,,,,,,,,
,0.3801,0.2661,6.565213119,4.719866475,10.89307011,0.225046471,2.8001,2.1001,0.566709254,RAISE,HOLD,RAISE,,,,,,,,,
,0.3801,0.2671,7.366158692,4.327856996,10.89307011,0.278194866,3.2001,2.4001,0.602696306,RAISE,HOLD,RAISE,,,,,,,,,
,0.3801,0.2681,7.533008345,3.526911423,10.89307011,0.340406751,3.6001,2.7001,0.676224298,RAISE,HOLD,RAISE,,,,,,,,,
,0.3801,0.2691,8.151706677,3.36006177,10.89307011,0.427173095,4.0001,3.0001,0.691541344,RAISE,HOLD,RAISE,,,,,,,,,
,0.3801,0.2701,8.337803493,2.741363438,10.89307011,0.485211715,4.4001,3.3001,0.748338769,RAISE,HOLD,RAISE,,,,,,,,,
,0.3801,0.2711,8.579980101,2.555266622,10.89307011,0.608296104,4.8001,3.6001,0.765422733,RAISE,HOLD,RAISE,,,,,,,,,
,0.3801,0.2721,9.456831417,2.313090013,10.89307011,0.67155263,5.2001,3.9001,0.787654905,RAISE,HOLD,RAISE,,,,,,,,,
,0.3801,0.2731,9.768047697,1.436238698,10.89307011,0.817679499,5.6001,4.2001,0.868151156,RAISE,HOLD,RAISE,,,,,,,,,
,0.3801,0.2741,9.82161843,1.125022417,10.89307011,1.360226223,6.0001,4.5001,0.896721273,RAISE,HOLD,RAISE,,,,,,,,,
,0.3801,0.2751,10.1668067,1.071451684,10.89307011,1.746030706,6.4001,4.8001,0.901639146,RAISE,HOLD,RAISE,,,,,,,,,
,0.3801,0.2761,11.15579656,0.726263418,10.89307011,1.897762978,6.8001,5.1001,0.933327941,RAISE,HOLD,RAISE,,,,,,,,,
,0.3801,0.2771,7.34149138,-0.262726449,10.89307011,3.072107526,7.2001,5.4001,1.024118678,STOP,HOLD,STOP,,,,,,,,,
,0.3801,0.0001,7.56081322,3.551578735,10.89307011,-5.588696072,0.0001,0.0001,0.673959802,RAISE,HOLD,RAISE,,,,,,,,,
,0.3801,0.0011,8.385451104,3.332256895,10.89307011,0.425771961,0.4001,0.3001,0.694093873,RAISE,LOWER,RAISE,,,,,,,,,
,0.3791,0.0021,8.868029732,2.507619011,10.89307011,0.503289594,0.8001,0.6001,0.769796854,RAISE,LOWER,RAISE,,,,,,,,,
,0.3781,0.0031,9.08517656,2.025040383,10.89307011,0.707286848,1.2001,0.9001,0.814098288,RAISE,LOWER,RAISE,,,,,,,,,
,0.3771,0.0041,9.551597799,1.807893555,10.89307011,0.897283495,1.6001,1.2001,0.834032689,RAISE,LOWER,RAISE,,,,,,,,,
,0.3761,0.0051,9.934347213,1.341472315,10.89307011,1.056654887,2.0001,1.5001,0.876850851,RAISE,LOWER,RAISE,,,,,,,,,
,0.3751,0.0061,10.03421012,0.958722901,10.89307011,1.48111103,2.4001,1.8001,0.911987815,RAISE,LOWER,RAISE,,,,,,,,,
,0.3741,0.0071,10.05349801,0.858859991,10.89307011,2.09324511,2.8001,2.1001,0.921155378,RAISE,LOWER,RAISE,,,,,,,,,
,0.3731,0.0081,10.13404346,0.839572101,10.89307011,2.341126172,3.2001,2.4001,0.922926035,RAISE,LOWER,RAISE,,,,,,,,,
,0.3721,0.0091,8.887640598,0.759026652,10.89307011,2.414097242,3.6001,2.7001,0.930320227,RAISE,LOWER,RAISE,,,,,,,,,
,0.3711,0.0101,8.892813382,2.005429517,10.89307011,2.341852047,4.0001,3.0001,0.815898595,RAISE,LOWER,RAISE,,,,,,,,,
,0.3701,0.0111,9.473390251,2.000256733,10.89307011,0.88687369,4.4001,3.3001,0.816373464,RAISE,LOWER,RAISE,,,,,,,,,
,0.3691,0.0121,9.632221406,1.419679864,10.89307011,0.947217434,4.8001,3.6001,0.869671282,RAISE,LOWER,RAISE,,,,,,,,,
,0.3681,0.0131,10.13993532,1.260848709,10.89307011,1.356956826,5.2001,3.9001,0.884252218,RAISE,LOWER,RAISE,,,,,,,,,
,0.3671,0.0141,10.25848485,0.753134799,10.89307011,1.608430138,5.6001,4.2001,0.930861108,RAISE,LOWER,RAISE,,,,,,,,,
,0.3661,0.0151,3.937132709,0.634585262,10.89307011,2.724209496,6.0001,4.5001,0.941744131,RAISE,LOWER,RAISE,,,,,,,,,
,0.3651,0.0161,4.889921026,6.955937406,10.89307011,1.240852236,6.4001,4.8001,0.361434625,RAISE,LOWER,RAISE,,,,,,,,,
,0.3641,0.0171,5.556527728,6.003149089,10.89307011,0.140597039,6.8001,5.1001,0.448902006,RAISE,LOWER,RAISE,,,,,,,,,
,0.3631,0.0181,5.843571593,5.336542386,10.89307011,0.185120431,7.2001,5.4001,0.51009749,RAISE,LOWER,RAISE,,,,,,,,,
,0.3621,0.0191,5.866638411,5.049498522,10.89307011,0.219002162,7.6001,5.7001,0.536448543,RAISE,LOWER,RAISE,,,,,,,,,
,0.3611,0.0201,6.365037513,5.026431704,10.89307011,0.23236519,8.0001,6.0001,0.538566111,RAISE,LOWER,RAISE,,,,,,,,,
,0.3601,0.0211,6.547822767,4.528032601,10.89307011,0.253262668,8.4001,6.3001,0.584319888,RAISE,LOWER,RAISE,,,,,,,,,
,0.3591,0.0221,6.916674454,4.345247347,10.89307011,0.289212704,8.8001,6.6001,0.601099846,RAISE,LOWER,RAISE,,,,,,,,,
,0.3581,0.0231,7.069120182,3.97639566,10.89307011,0.318355845,9.2001,6.9001,0.634960978,RAISE,LOWER,RAISE,,,,,,,,,
,0.3571,0.0241,7.850291118,3.823949933,10.89307011,0.355554164,9.6001,7.2001,0.648955722,RAISE,LOWER,RAISE,,,,,,,,,
,0.3561,0.0251,8.211901975,3.042778997,10.89307011,0.410585455,10.0001,7.5001,0.720668373,RAISE,LOWER,RAISE,,,,,,,,,
,0.3551,0.0261,8.690125554,2.681168139,10.89307011,0.539763288,10.4001,7.8001,0.753864786,RAISE,LOWER,RAISE,,,,,,,,,
,0.3541,0.0271,8.996953145,2.202944561,10.89307011,0.648234285,10.8001,8.1001,0.797766421,RAISE,LOWER,RAISE,,,,,,,,,
,0.3531,0.0281,9.580073647,1.89611697,10.89307011,0.816811581,11.2001,8.4001,0.825933649,RAISE,LOWER,RAISE,,,,,,,,,
,0.3521,0.0291,9.809405869,1.312996468,10.89307011,1.010493952,11.6001,8.7001,0.879464976,RAISE,LOWER,RAISE,,,,,,,,,
,0.3511,0.0301,10.41284846,1.083664245,10.89307011,1.49420141,12.0001,9.0001,0.900518014,RAISE,LOWER,RAISE,,,,,,,,,
,0.3501,0.0311,10.48486211,0.480221655,10.89307011,1.921785,12.4001,9.3001,0.955914939,RAISE,LOWER,RAISE,,,,,,,,,
,0.3491,0.0321,7.81659927,0.408208008,10.89307011,4.366676093,12.8001,9.6001,0.962525899,RAISE,LOWER,RAISE,,,,,,,,,
,0.3481,0.0331,8.575259638,3.076470845,10.89307011,3.829713831,13.2001,9.9001,0.717575411,RAISE,LOWER,RAISE,,,,,,,,,
,0.3471,0.0341,9.423996818,2.317810477,10.89307011,0.557473811,13.6001,10.2001,0.787221559,RAISE,LOWER,RAISE,,,,,,,,,
,0.3461,0.0351,10.38675637,1.469073297,10.89307011,0.813180966,14.0001,10.5001,0.865136891,RAISE,LOWER,RAISE,,,,,,,,,
,0.3451,0.0361,10.62390298,0.50631374,10.89307011,1.414055568,14.4001,10.8001,0.953519647,RAISE,LOWER,RAISE,,,,,,,,,
,0.3441,0.0371,10.75873806,0.269167132,10.89307011,4.196569101,14.8001,11.1001,0.975290058,RAISE,LOWER,STOP,,,,,,,,,
,0.3431,0.0381,4.774832708,0.13433206,10.89307011,7.994094955,0.0001,0.0001,0.987668118,HOLD,LOWER,HOLD,,,,,,,,,
,0.3421,0.0381,5.431715205,6.118237407,10.89307011,7.10899947,0.0001,0.0001,0.438336728,RAISE,LOWER,RAISE,,,,,,,,,
,0.3411,0.0391,6.27825269,5.46135491,10.89307011,0.177558171,0.4001,0.3001,0.498639516,RAISE,LOWER,RAISE,,,,,,,,,
,0.3401,0.0401,7.063623608,4.614817425,10.89307011,0.229915572,0.8001,0.6001,0.576352913,RAISE,LOWER,RAISE,,,,,,,,,
,0.3391,0.0411,7.702617915,3.829446507,10.89307011,0.306127977,1.2001,0.9001,0.648451128,RAISE,LOWER,RAISE,,,,,,,,,
,0.3381,0.0421,8.094491538,3.1904522,10.89307011,0.402283615,1.6001,1.2001,0.707111754,RAISE,LOWER,RAISE,,,,,,,,,
,0.3371,0.0431,8.534951264,2.798578577,10.89307011,0.507419703,2.0001,1.5001,0.743086334,RAISE,LOWER,RAISE,,,,,,,,,
,0.3361,0.0441,9.118604373,2.358118851,10.89307011,0.609949017,2.4001,1.8001,0.78352119,RAISE,LOWER,RAISE,,,,,,,,,
,0.3351,0.0451,9.968884774,1.774465742,10.89307011,0.773379541,2.8001,2.1001,0.837101412,RAISE,LOWER,RAISE,,,,,,,,,
,0.3341,0.0461,10.9051013,0.924185341,10.89307011,1.123592813,3.2001,2.4001,0.915158414,RAISE,LOWER,RAISE,,,,,,,,,
,0.3331,0.0471,10.64580249,-0.012031187,10.89307011,2.359938168,3.6001,2.7001,1.001104481,HOLD,LOWER,HOLD,,,,,,,,,
,0.3321,0.0471,7.617844108,0.247267627,10.89307011,-176.9701059,3.6001,2.7001,0.977300465,RAISE,LOWER,LOWER,,,,,,,,,
,0.3311,0.0481,7.719053909,3.275226007,10.89307011,6.161618642,3.5991,2.6991,0.699329393,RAISE,LOWER,RAISE,,,,,,,,,
,0.3301,0.0491,8.365521385,3.174016205,10.89307011,0.471360077,3.9991,2.9991,0.708620603,RAISE,LOWER,RAISE,,,,,,,,,
,0.3291,0.0501,8.644436776,2.52754873,10.89307011,0.52712531,4.3991,3.2991,0.767967276,RAISE,LOWER,RAISE,,,,,,,,,
,0.3281,0.0511,9.309597719,2.248633339,10.89307011,0.684017418,4.7991,3.5991,0.793572123,RAISE,LOWER,RAISE,,,,,,,,,
,0.3271,0.0521,9.855091552,1.583472396,10.89307011,0.828022742,5.1991,3.8991,0.854634884,RAISE,LOWER,RAISE,,,,,,,,,
,0.3261,0.0531,10.56293063,1.037978563,10.89307011,1.244744345,5.5991,4.1991,0.904712028,RAISE,LOWER,RAISE,,,,,,,,,
,0.3251,0.0541,8.973517357,0.330139484,10.89307011,2.035288783,5.9991,4.4991,0.969692706,RAISE,LOWER,RAISE,,,,,,,,,
,0.3241,0.0551,9.650385565,1.919552758,10.89307011,5.436197606,6.3991,4.7991,0.823782209,RAISE,LOWER,RAISE,,,,,,,,,
,0.3231,0.0561,10.09141474,1.24268455,10.89307011,1.005482712,6.7991,5.0991,0.885919714,RAISE,LOWER,RAISE,,,,,,,,,
,0.3221,0.0571,10.7731743,0.801655372,10.89307011,1.62413136,7.1991,5.3991,0.926406847,RAISE,LOWER,RAISE,,,,,,,,,
,0.3211,0.0581,5.086605491,0.119895814,10.89307011,2.68773208,7.5991,5.6991,0.988993386,HOLD,LOWER,HOLD,,,,,,,,,
,0.3201,0.0581,5.517751273,5.806464624,10.89307011,8.485042663,7.5991,5.6991,0.466957932,RAISE,LOWER,RAISE,,,,,,,,,
,0.3191,0.0591,5.527072553,5.375318842,10.89307011,0.190055451,7.9991,5.9991,0.506537754,RAISE,LOWER,RAISE,,,,,,,,,
,0.3181,0.0601,6.000902988,5.365997562,10.89307011,0.205646315,8.3991,6.2991,0.507393462,RAISE,LOWER,RAISE,,,,,,,,,
,0.3171,0.0611,6.642183557,4.892167127,10.89307011,0.223664022,8.7991,6.5991,0.550891799,RAISE,LOWER,RAISE,,,,,,,,,
,0.3161,0.0621,7.512333377,4.250886558,10.89307011,0.271543608,9.1991,6.8991,0.609762306,RAISE,LOWER,RAISE,,,,,,,,,
,0.3151,0.0631,8.3396924,3.380736738,10.89307011,0.353447841,9.5991,7.1991,0.689643351,RAISE,LOWER,RAISE,,,,,,,,,
,0.3141,0.0641,8.989940228,2.553377715,10.89307011,0.493365384,9.9991,7.4991,0.765596137,RAISE,LOWER,RAISE,,,,,,,,,
,0.3131,0.0651,9.108814497,1.903129887,10.89307011,0.704160624,10.3991,7.7991,0.825289852,RAISE,LOWER,RAISE,,,,,,,,,
,0.3121,0.0661,9.851010462,1.784255618,10.89307011,0.957245699,10.7991,8.0991,0.836202687,RAISE,LOWER,RAISE,,,,,,,,,
,0.3111,0.0671,10.03698314,1.042059653,10.89307011,1.104215154,11.1991,8.3991,0.904337378,RAISE,LOWER,RAISE,,,,,,,,,
,0.3101,0.0681,10.83489311,0.856086973,10.89307011,1.926374007,11.5991,8.6991,0.921409946,RAISE,LOWER,RAISE,,,,,,,,,
,0.3091,0.0691,4.342520274,0.058177001,10.89307011,2.531259898,11.9991,8.9991,0.994659265,HOLD,LOWER,HOLD,,,,,,,,,
,0.3081,0.0691,5.224162895,6.550549841,10.89307011,14.92864951,11.9991,8.9991,0.398649805,RAISE,LOWER,RAISE,,,,,,,,,
,0.3071,0.0701,5.586074431,5.668907219,10.89307011,0.159503035,12.3991,9.2991,0.479585906,RAISE,LOWER,RAISE,,,,,,,,,
,0.3061,0.0711,6.089697395,5.306995684,10.89307011,0.197077645,12.7991,9.5991,0.512809922,RAISE,LOWER,RAISE,,,,,,,,,
,0.3051,0.0721,6.197502884,4.80337272,10.89307011,0.229496979,13.1991,9.8991,0.559043257,RAISE,LOWER,RAISE,,,,,,,,,
